,customer_id,company_name,industry,region,signup_date,plan_type,monthly_usage,support_tickets,last_active_date,churn_flag,lifetime_value,nps_score
42,43,"Carson, Miller and Price",Manufacturing,North America,7/5/2022,Free,3,0,8/16/2022,1,25.09,66
43,44,"Foley, Lozano and Walker",Finance,Europe,2/12/2024,Basic,14,0,2/29/2024,0,251.82,23
44,45,Bell Ltd,Finance,North America,10/2/2024,Free,5,0,10/3/2024,1,41.61,21
45,46,"James, Miles and Brown",Healthcare,Asia-Pacific,7/30/2023,Enterprise,50,1,9/15/2023,0,5216.27,82
46,47,Carter LLC,Logistics,North America,7/1/2022,Free,6,0,10/6/2022,1,29.64,-19
47,48,"Schmidt, Garcia and King",Logistics,North America,7/27/2025,Enterprise,49,1,12/6/2025,0,5213.8,64
48,49,"Graves, Smith and Mora",Logistics,Asia-Pacific,7/10/2022,Free,4,0,7/25/2022,1,32.33,-25
49,50,Tate-Johnson,Healthcare,Latin America,12/4/2022,Basic,9,0,3/3/2023,0,255.25,32
50,51,"Perez, Stephenson and Serrano",Manufacturing,Europe,3/28/2024,Free,4,0,3/31/2024,1,23.98,-26
51,52,"Martinez, Meadows and Moore",Healthcare,Latin America,6/24/2024,Pro,25,1,7/17/2024,0,1033.13,64
52,53,"Ortiz, Allen and Burton",Logistics,North America,10/20/2025,Free,4,0,2/18/2026,1,9.84,16
53,54,"Perez, Holland and Smith",Finance,Asia-Pacific,5/28/2022,Free,3,0,10/20/2022,1,17.01,-26
54,55,"Adams, Holland and Cole",Logistics,North America,11/11/2024,Basic,14,1,3/18/2025,0,288.63,-6
55,56,"Nelson, Morales and Tyler",Technology,North America,1/6/2023,Enterprise,41,1,9/16/2023,0,5403.32,50
56,57,"Nichols, Curtis and Stanton",Technology,Asia-Pacific,2/19/2026,Enterprise,49,2,6/8/2026,0,5326.58,64
57,58,"Castillo, Morgan and Patterson",Retail,North America,3/29/2026,Basic,14,0,8/27/2026,0,254.08,38
58,59,"Robinson, Johnson and Hernandez",Finance,Asia-Pacific,5/25/2025,Free,4,0,7/1/2025,1,18.1,-23
59,60,"Parker, Bryant and Williams",Technology,Asia-Pacific,6/16/2024,Free,7,0,7/1/2024,1,58.17,11
60,61,"Snyder, Blevins and Murphy",Finance,Asia-Pacific,5/26/2025,Basic,22,0,7/21/2025,0,383.44,37
61,62,Hudson-West,Finance,Europe,9/9/2025,Basic,8,1,9/24/2025,0,266.37,8
62,63,Ellis-Park,Healthcare,North America,1/17/2025,Free,4,0,5/9/2025,1,9.84,1
63,64,"Fernandez, Hatfield and Buck",Technology,Latin America,8/12/2025,Pro,27,3,8/29/2025,0,922.67,58
64,65,Martinez-Bullock,Retail,Asia-Pacific,11/14/2022,Basic,14,1,5/20/2023,0,303.02,15
65,66,Richards Group,Technology,Asia-Pacific,8/20/2024,Free,2,0,9/25/2024,1,14.95,9
66,67,Navarro-Williams,Retail,Asia-Pacific,9/3/2024,Basic,14,1,10/4/2024,0,242.85,-28
67,68,Hood Inc,Finance,Latin America,7/9/2022,Pro,22,1,7/17/2022,0,1007.61,37
68,69,"Phillips, Mills and Taylor",Finance,Latin America,7/25/2023,Basic,20,1,8/26/2023,0,266.45,-2
69,70,"Jones, Bruce and Obrien",Retail,North America,10/29/2024,Free,6,0,12/9/2024,1,29.55,-25
70,71,"Nguyen, Ross and Roberts",Manufacturing,North America,10/27/2025,Basic,14,2,11/17/2025,0,323.73,-30
71,72,Harris-Thompson,Healthcare,Europe,12/23/2023,Basic,12,0,1/2/2024,0,300.15,4
72,73,Leach PLC,Finance,Europe,4/12/2023,Free,8,1,5/3/2023,0,73.32,13
73,74,"Parks, Cook and Ortega",Retail,North America,5/2/2025,Free,7,0,8/11/2025,1,37.55,-6
74,75,"Hammond, Palmer and Gonzalez",Finance,North America,1/13/2023,Free,4,0,2/6/2023,1,30.38,24
75,76,Johnson-Lamb,Manufacturing,North America,4/25/2024,Pro,38,2,5/7/2024,0,1017.52,8
76,77,Wiggins PLC,Manufacturing,North America,4/15/2024,Pro,30,2,5/28/2024,0,941.52,70
77,78,"Bennett, Whitney and Hobbs",Manufacturing,Asia-Pacific,4/9/2023,Free,5,0,6/7/2023,1,39.8,-23
78,79,"Miles, Foster and Owens",Technology,North America,10/1/2023,Enterprise,55,3,12/8/2023,0,5462.74,49
79,80,Young-Thompson,Retail,Asia-Pacific,6/23/2024,Basic,14,0,8/9/2024,0,298.98,8
80,81,Bentley Group,Manufacturing,Asia-Pacific,12/20/2022,Free,5,1,2/28/2023,1,28.35,0
81,82,"Butler, Downs and Young",Healthcare,North America,4/8/2026,Free,8,0,6/21/2026,0,33.6,-51
82,83,"Parker, Mills and Brewer",Healthcare,North America,10/16/2024,Basic,10,0,11/27/2024,0,262.7,11
83,84,"Chan, Malone and Gomez",Retail,Latin America,7/25/2024,Basic,18,3,9/3/2024,0,303.63,4
84,85,Mitchell-Montgomery,Healthcare,North America,5/21/2024,Basic,15,0,7/19/2024,0,316.86,29
85,86,Pacheco-Mcdonald,Retail,Europe,7/11/2024,Basic,16,1,8/26/2024,0,262.46,37
86,87,"Griffith, Dean and Brown",Technology,Latin America,3/11/2024,Enterprise,56,4,4/4/2024,0,5215.91,41
87,88,Henderson-Hayes,Retail,North America,10/25/2023,Basic,9,0,2/24/2024,0,238.34,34
88,89,Pacheco-Walters,Healthcare,Asia-Pacific,5/21/2025,Free,3,0,9/20/2025,1,28.98,-4
89,90,Nichols-Malone,Manufacturing,Europe,10/26/2025,Enterprise,39,3,11/26/2025,0,5129.48,41
90,91,"Duncan, Myers and Gentry",Technology,Europe,7/26/2025,Free,4,0,7/30/2025,1,14.82,7
91,92,Hill PLC,Technology,Latin America,4/3/2025,Free,2,0,5/4/2025,1,10.88,2
92,93,Carter-Walsh,Retail,North America,8/26/2025,Pro,32,0,8/29/2025,0,991.15,17
93,94,"Poole, Long and Thompson",Finance,Europe,8/26/2023,Free,7,1,9/11/2023,1,51.3,55
94,95,Williams Group,Healthcare,Asia-Pacific,6/30/2023,Enterprise,49,4,8/22/2023,0,5228.34,44
95,96,"Austin, Holloway and Yoder",Technology,Europe,8/19/2025,Free,9,0,11/9/2025,0,59.46,32
96,97,Owens Inc,Technology,Europe,1/6/2023,Free,8,0,3/21/2023,0,38.34,-15
97,98,Swanson-Schmidt,Logistics,North America,5/26/2023,Basic,19,3,5/30/2023,0,285.43,28
98,99,Brooks-Edwards,Logistics,Asia-Pacific,8/1/2023,Free,2,0,10/13/2023,1,13.07,56
99,100,"Pittman, Hammond and Mercado",Technology,Latin America,11/20/2025,Pro,32,1,3/29/2026,0,1026.85,31
100,101,Mitchell LLC,Manufacturing,Europe,1/19/2023,Basic,11,0,3/4/2023,0,275.22,17
101,102,"Horton, Ray and Walker",Finance,North America,5/10/2023,Free,4,0,5/30/2023,1,34.18,39
102,103,"Smith, Alvarez and Robertson",Logistics,Europe,8/25/2025,Basic,14,0,12/15/2025,0,337.83,43
103,104,Peterson Inc,Retail,Europe,3/11/2023,Basic,19,2,4/4/2023,0,278.73,61
104,105,Cobb Ltd,Logistics,Europe,4/11/2025,Pro,29,2,6/29/2025,0,965.22,7
105,106,Wheeler LLC,Manufacturing,Asia-Pacific,11/12/2025,Basic,16,0,5/8/2026,0,259.85,2
106,107,Clark Ltd,Retail,Asia-Pacific,3/22/2026,Basic,7,0,4/30/2026,1,226.64,-15
107,108,Cantu Ltd,Healthcare,Europe,3/23/2023,Free,5,0,3/31/2023,1,46.38,8
108,109,Wright-Nelson,Manufacturing,Asia-Pacific,5/26/2022,Enterprise,50,4,6/4/2022,0,5384.48,56
109,110,Gardner-Neal,Manufacturing,North America,6/13/2023,Free,3,0,7/2/2023,1,24.47,-18
110,111,West LLC,Finance,Europe,7/4/2024,Free,4,0,7/17/2024,1,13.24,33
111,112,Shaw-Petersen,Finance,North America,3/17/2023,Pro,26,4,4/20/2023,0,1057.08,45
112,113,Grant-Carlson,Finance,North America,10/22/2025,Basic,13,1,10/22/2025,0,301.56,36
113,114,"Smith, Allison and Lopez",Healthcare,Asia-Pacific,12/5/2025,Pro,33,0,5/19/2026,0,1024.67,55
114,115,Alvarez-Murphy,Retail,North America,8/23/2025,Free,5,1,9/4/2025,1,29.81,-36
115,116,Marsh and Sons,Manufacturing,North America,11/10/2024,Free,6,0,12/10/2024,1,47.91,18
116,117,"Hickman, Foster and Hernandez",Manufacturing,Europe,4/16/2024,Enterprise,45,0,8/2/2024,0,5448.95,66
117,118,Lee-Barnett,Logistics,North America,8/18/2023,Pro,27,2,3/4/2024,0,1009.18,25
118,119,Taylor-Smith,Logistics,Latin America,11/3/2023,Free,4,0,4/11/2024,1,37.63,-16
119,120,Mccullough-Hodges,Retail,North America,9/21/2025,Free,7,0,3/13/2026,1,42.38,3
120,121,Rosales-Calderon,Logistics,North America,12/13/2022,Basic,15,0,1/14/2023,0,238.78,8
121,122,Smith Inc,Healthcare,North America,6/18/2024,Basic,11,0,7/23/2024,0,296.59,20
122,123,Curtis LLC,Finance,Latin America,2/17/2024,Free,3,1,3/1/2024,1,11.45,16
123,124,Vasquez PLC,Retail,North America,2/10/2025,Basic,12,1,3/25/2025,0,264.15,21
124,125,Lucas-Brown,Logistics,North America,5/6/2023,Basic,13,3,7/24/2023,0,304.94,49
125,126,"Reynolds, Romero and Johnston",Logistics,North America,12/8/2024,Basic,16,0,5/8/2025,0,359.5,10
126,127,Kim-Ruiz,Retail,Asia-Pacific,10/2/2023,Free,4,1,10/6/2023,1,10.09,-35
127,128,Salazar and Sons,Retail,Asia-Pacific,1/9/2026,Free,5,0,3/20/2026,1,39.66,-19
128,129,Reyes-Jones,Manufacturing,Europe,1/6/2024,Free,3,0,3/18/2024,1,16.5,41
129,130,White LLC,Finance,North America,9/30/2023,Pro,32,0,10/15/2023,0,1099.38,25
130,131,"Peck, Hernandez and Hale",Retail,North America,11/12/2025,Basic,12,0,3/24/2026,0,287.87,84
131,132,Hines-Morrison,Technology,Europe,1/15/2023,Free,10,0,4/16/2023,0,32.76,-44
132,133,"Soto, Jimenez and Scott",Finance,North America,5/28/2023,Basic,20,1,5/31/2023,0,271.32,27
133,134,Garcia Inc,Retail,North America,12/26/2024,Free,7,0,2/28/2025,1,33.35,21
134,135,Smith-Graham,Technology,Europe,8/8/2022,Basic,14,0,9/17/2022,0,312.99,52
135,136,Hayes-Walls,Retail,North America,10/30/2022,Basic,12,0,4/9/2023,0,301.13,55
136,137,Hansen and Sons,Logistics,Latin America,6/19/2025,Basic,13,0,8/15/2025,0,228.43,77
137,138,Santana PLC,Manufacturing,Europe,12/6/2024,Free,2,2,3/13/2025,1,5.7,14
138,139,Molina Inc,Retail,Europe,7/15/2023,Free,2,0,8/13/2023,1,9.14,0
139,140,"Jackson, Williams and Wong",Retail,North America,4/19/2023,Basic,15,0,5/22/2023,0,254.56,57
140,141,Chase-Owen,Manufacturing,North America,2/28/2025,Pro,26,2,3/16/2025,0,975.47,40
141,142,Campbell Group,Manufacturing,North America,12/26/2023,Free,6,0,12/31/2023,1,21.68,-16
142,143,"Rice, Smith and Terry",Logistics,North America,9/7/2023,Free,5,1,9/10/2023,1,33.02,-15
143,144,Walls-Collins,Retail,North America,5/11/2025,Pro,33,3,5/28/2025,0,1108.49,30
144,145,"Webster, Tran and Cowan",Healthcare,North America,4/30/2023,Pro,28,2,5/3/2023,0,979.7,84
145,146,"Stewart, Foster and Spencer",Healthcare,North America,11/24/2024,Free,4,0,12/20/2024,1,9.17,-7
146,147,Garcia-Garcia,Manufacturing,North America,5/5/2024,Basic,14,0,5/5/2024,0,250.87,55
147,148,Cox-Hicks,Retail,Asia-Pacific,1/23/2026,Enterprise,54,4,2/3/2026,0,5173.29,49
148,149,Perez-Jackson,Logistics,North America,9/17/2022,Pro,26,0,10/27/2022,0,1046.22,69
149,150,Perez-Rogers,Technology,Europe,12/6/2025,Pro,33,4,1/18/2026,0,1072,62
150,151,"Perez, Gross and Berry",Healthcare,Europe,10/1/2023,Basic,8,1,10/2/2023,0,276.1,35
151,152,Robbins Inc,Technology,North America,12/12/2023,Basic,17,0,2/26/2024,0,329.26,-12
152,153,Jacobson-Cordova,Finance,Europe,12/13/2022,Free,6,0,7/19/2023,1,14.72,0
153,154,"Cooley, Gonzalez and Jones",Healthcare,Latin America,1/9/2026,Pro,28,1,2/11/2026,0,1053.96,3
154,155,"Jones, Jones and Morgan",Retail,North America,8/26/2022,Free,3,0,9/15/2022,1,21.64,-28
155,156,Patterson PLC,Technology,Europe,1/21/2024,Pro,39,2,2/19/2024,0,879.49,62
156,157,Mendoza Inc,Logistics,Europe,10/30/2022,Free,2,0,12/2/2022,1,11.19,29
157,158,"Rhodes, Rivera and Smith",Manufacturing,North America,10/8/2024,Pro,30,0,10/17/2024,0,1087.24,23
158,159,"Cortez, Taylor and Sampson",Manufacturing,North America,3/28/2024,Enterprise,45,3,4/6/2024,0,5305.38,81
159,160,King Group,Technology,North America,11/29/2023,Pro,18,1,12/4/2023,0,939.94,50
160,161,Ward-Sanchez,Finance,Asia-Pacific,4/24/2025,Basic,21,1,5/5/2025,0,361.15,61
161,162,Martinez LLC,Healthcare,North America,6/24/2022,Basic,16,1,10/20/2022,0,347.45,33
162,163,Ramirez-Shaw,Logistics,Europe,6/7/2022,Free,8,0,8/18/2022,0,73.71,13
163,164,Thompson-Larson,Manufacturing,Latin America,12/31/2025,Free,1,0,1/10/2026,1,4.87,47
164,165,"Buchanan, Green and Rocha",Retail,North America,1/30/2026,Enterprise,63,2,4/4/2026,0,5577.29,63
165,166,Walker-Leonard,Retail,Asia-Pacific,10/9/2024,Basic,15,0,5/13/2025,0,294.65,38
166,167,Henry PLC,Technology,Asia-Pacific,2/1/2025,Basic,12,0,2/24/2025,0,253.8,13
167,168,"Duncan, Herman and Mccullough",Technology,Europe,11/26/2025,Pro,35,3,8/2/2026,0,1001.8,25
168,169,"Blevins, Barker and Contreras",Technology,North America,9/21/2024,Basic,10,1,10/11/2024,0,258.25,29
169,170,Thomas PLC,Technology,Asia-Pacific,6/16/2023,Basic,12,0,7/10/2023,0,244.47,-22
170,171,"Carey, Torres and Frank",Technology,Europe,10/20/2023,Free,8,0,1/5/2024,0,50.66,3
171,172,"Mcbride, Zimmerman and Phillips",Healthcare,North America,6/17/2024,Free,6,0,9/21/2024,1,24.95,21
172,173,Summers-Delgado,Technology,Asia-Pacific,3/27/2025,Free,3,0,7/1/2025,1,6.76,-10
173,174,Johnson Group,Technology,North America,3/15/2026,Pro,30,0,6/5/2026,0,1075.54,48
174,175,Schmidt and Sons,Technology,Europe,8/27/2022,Basic,12,0,12/14/2022,0,253.97,-5
175,176,"Riley, King and Smith",Finance,North America,1/9/2025,Free,4,0,3/23/2025,1,29.58,19
176,177,Rodriguez-Campbell,Logistics,Europe,7/7/2025,Basic,15,2,10/17/2025,0,262.56,8
177,178,Nichols-Jacobs,Logistics,Europe,2/3/2025,Free,7,0,5/26/2025,1,24.03,23
178,179,Collins Group,Healthcare,Europe,3/26/2023,Basic,17,1,7/26/2023,0,358.88,31
179,180,Lee Inc,Finance,Europe,9/25/2023,Free,3,0,10/2/2023,1,8.76,-43
180,181,Rodgers-Olson,Technology,Asia-Pacific,5/28/2024,Enterprise,65,4,7/21/2024,0,5290.81,58
181,182,Roberts Group,Finance,Europe,3/27/2023,Basic,10,0,4/22/2023,0,222.43,51
182,183,Dorsey PLC,Retail,Asia-Pacific,5/8/2023,Free,6,0,8/18/2023,1,44.07,-13
183,184,"Mcgrath, Pollard and Vaughan",Finance,North America,6/12/2022,Pro,31,0,7/18/2022,0,1028.81,32
184,185,"Sherman, Wood and Ashley",Healthcare,North America,3/30/2026,Enterprise,50,1,5/17/2026,0,5320.27,68
185,186,"Cooper, Doyle and Price",Retail,North America,12/29/2022,Enterprise,48,2,2/22/2023,0,5440.46,62
186,187,Clark LLC,Logistics,North America,10/15/2025,Pro,24,1,11/27/2025,0,942.63,51
187,188,Goodwin-Miller,Technology,Asia-Pacific,6/14/2023,Enterprise,57,1,6/28/2023,0,5459.35,59
188,189,Moore Ltd,Technology,North America,6/27/2023,Basic,11,0,10/14/2023,0,241.25,40
189,190,"Taylor, Miller and Lester",Manufacturing,Europe,4/28/2023,Pro,29,3,8/20/2023,0,1038.49,52
190,191,"Howell, Brooks and Moreno",Technology,North America,6/6/2022,Free,2,0,8/18/2022,1,14.72,-41
191,192,Adams Inc,Technology,North America,9/9/2025,Basic,19,0,9/25/2025,0,241.57,-3
192,193,Strickland Inc,Logistics,North America,10/18/2023,Basic,14,2,11/18/2023,0,263.07,-48
193,194,Kennedy and Sons,Healthcare,Latin America,9/4/2023,Free,6,0,9/8/2023,1,34.05,15
194,195,Bird LLC,Technology,North America,8/23/2023,Basic,12,1,11/20/2023,0,302.74,23
195,196,"Mclaughlin, James and Ellis",Logistics,North America,12/28/2025,Free,4,0,1/3/2026,1,22.98,-5
196,197,Woods-Nelson,Retail,Latin America,9/7/2022,Free,6,0,12/11/2022,1,17.56,-38
197,198,Moore-Guzman,Technology,North America,4/28/2023,Pro,20,0,5/24/2023,0,881.33,55
198,199,"Lane, Moore and Hawkins",Healthcare,North America,10/21/2025,Basic,15,0,6/16/2026,0,300.79,-4
199,200,Smith-White,Manufacturing,Europe,12/13/2024,Free,7,0,10/6/2025,1,60.64,61
200,201,Larson and Sons,Logistics,North America,3/20/2026,Free,6,0,10/2/2026,1,28.73,-15
201,202,Fields-Jackson,Manufacturing,North America,8/24/2024,Enterprise,47,6,12/10/2024,0,5227.1,66
202,203,Taylor-Rice,Technology,Europe,2/15/2025,Free,3,0,3/20/2025,1,15.04,32
203,204,Perry-Wolfe,Technology,North America,5/30/2023,Free,2,0,1/30/2024,1,4.74,-10
204,205,"Curry, Nguyen and Castro",Manufacturing,Asia-Pacific,12/31/2025,Basic,20,0,1/4/2026,0,365.61,44
205,206,"Taylor, Fields and Brown",Retail,Latin America,5/13/2026,Basic,16,2,1/11/2027,0,317.59,8
206,207,Smith LLC,Finance,North America,8/29/2023,Pro,24,5,11/9/2023,0,903.78,35
207,208,Cox-Mcguire,Finance,Asia-Pacific,10/16/2024,Basic,9,0,10/26/2024,0,238.14,54
208,209,"Garcia, Brown and Bell",Manufacturing,Latin America,11/19/2025,Pro,31,0,1/15/2026,0,993.29,57
209,210,Gilmore Ltd,Finance,Asia-Pacific,7/9/2025,Free,3,1,7/12/2025,1,20.2,-24
210,211,Zuniga Inc,Retail,North America,2/20/2026,Basic,13,4,4/26/2026,0,310.43,8
211,212,Hayden-Nelson,Finance,Asia-Pacific,1/25/2024,Basic,14,0,4/13/2024,0,307.19,5
212,213,Dorsey-King,Finance,North America,3/11/2026,Free,6,0,6/25/2026,1,26.88,6
213,214,Figueroa-Johnson,Technology,Europe,9/25/2024,Basic,16,1,11/17/2024,0,267.94,21
214,215,"Griffin, Parker and Brown",Retail,Europe,3/9/2024,Free,5,0,3/15/2024,1,28.57,10
215,216,Conway-Thompson,Retail,Asia-Pacific,11/25/2022,Pro,39,1,11/26/2022,0,1042.49,23
216,217,Trujillo Inc,Manufacturing,Asia-Pacific,3/17/2024,Pro,22,2,5/15/2024,0,929.13,10
217,218,Figueroa-Werner,Manufacturing,North America,8/31/2025,Basic,12,1,9/8/2025,0,262.66,-2
218,219,Padilla-Long,Finance,Latin America,1/25/2026,Pro,26,1,2/26/2026,0,982.46,35
219,220,Ramos LLC,Logistics,North America,11/23/2025,Enterprise,47,2,12/14/2025,0,5314.2,50
220,221,Rose-Harris,Finance,North America,3/2/2025,Pro,27,0,3/24/2025,0,1023.66,21
221,222,"Alvarez, Jenkins and Stephens",Technology,North America,1/24/2024,Pro,19,1,4/17/2024,0,883.58,42
222,223,Newton PLC,Logistics,Asia-Pacific,7/13/2025,Free,4,1,7/14/2025,1,29.9,10
223,224,"Duarte, Holland and Lam",Finance,North America,11/14/2025,Basic,13,0,12/7/2025,0,248.83,23
224,225,Lyons-Marsh,Finance,Europe,3/17/2025,Pro,27,0,3/31/2025,0,949.6,77
225,226,"Hawkins, Sanchez and Larson",Retail,Asia-Pacific,3/27/2026,Enterprise,53,2,7/9/2026,0,5315.27,74
226,227,Hogan Ltd,Retail,Asia-Pacific,4/27/2023,Basic,17,0,4/27/2023,0,310.75,2
227,228,"Stevens, Kaiser and Mejia",Manufacturing,Latin America,1/3/2024,Free,7,0,2/11/2024,1,32.25,-58
228,229,"Guerrero, Curry and Fischer",Logistics,Asia-Pacific,7/1/2025,Free,3,0,8/31/2025,1,15.11,-41
229,230,Collins-Fitzpatrick,Retail,Latin America,1/29/2023,Basic,15,2,2/14/2023,0,313.77,-41
230,231,Jones and Sons,Finance,North America,4/12/2023,Basic,16,1,6/2/2023,0,237.16,-4
231,232,Christensen Inc,Retail,Latin America,7/29/2025,Free,4,2,11/1/2025,1,10.6,1
232,233,Martinez-Coleman,Manufacturing,North America,8/25/2025,Free,5,0,9/11/2025,1,28.92,-9
233,234,White and Sons,Manufacturing,Europe,2/14/2026,Basic,13,1,5/28/2026,0,264.82,4
234,235,Turner-Walker,Technology,North America,5/27/2023,Basic,14,2,7/11/2023,0,308.12,44
235,236,"Henry, Fry and Gardner",Logistics,North America,2/5/2023,Free,4,0,3/3/2023,1,18.93,-17
236,237,Graves-Marshall,Logistics,North America,6/17/2022,Pro,28,4,7/13/2022,0,1069,54
237,238,Moore Inc,Technology,North America,2/11/2025,Basic,23,2,8/18/2025,0,261.3,21
238,239,Nelson-Hull,Logistics,Europe,7/6/2025,Pro,31,0,7/9/2025,0,1063.79,18
239,240,Barry-Kirby,Retail,Europe,12/21/2025,Basic,16,0,1/21/2026,0,263.69,-14
240,241,Cisneros LLC,Logistics,Europe,4/30/2023,Basic,21,4,5/16/2023,0,404.88,5
241,242,Lawson-Roberts,Healthcare,Asia-Pacific,4/27/2026,Free,5,0,5/5/2026,1,20.72,60
242,243,Cruz-Williams,Technology,Europe,8/26/2022,Free,8,0,10/8/2022,0,72.99,-22
243,244,Garcia and Sons,Logistics,Europe,10/26/2025,Free,9,1,11/7/2025,0,19.98,12
244,245,Page-Mcbride,Retail,North America,1/11/2026,Basic,11,2,1/22/2026,0,229.2,100
245,246,"Morrison, Hart and Reese",Logistics,North America,8/13/2023,Enterprise,42,4,8/15/2023,0,5088.13,88
246,247,"Lopez, Lloyd and Hernandez",Technology,North America,2/27/2023,Enterprise,58,6,3/26/2023,0,5475.09,47
247,248,Caldwell and Sons,Finance,Asia-Pacific,9/3/2022,Free,2,0,11/25/2022,1,18.63,42
248,249,Bradley PLC,Retail,North America,12/3/2023,Free,5,1,12/13/2023,1,12.69,-8
249,250,Smith Inc,Technology,Europe,3/8/2024,Enterprise,51,3,9/12/2024,0,5189.96,78
250,251,Swanson Ltd,Healthcare,Europe,10/5/2022,Free,6,0,11/15/2022,1,25.19,-31
251,252,Avery PLC,Logistics,Europe,11/8/2024,Basic,14,0,11/14/2024,0,325.22,21
252,253,Hicks-Murphy,Logistics,North America,9/23/2025,Basic,13,1,10/20/2025,0,265.43,58
253,254,"Juarez, Huynh and Davidson",Finance,North America,12/25/2024,Basic,13,0,2/23/2025,0,297.4,27
